; Gadget version 2.3.99 running on HQSTL4341484 Mon Feb 15 16:15:34 2021
; a simulation run was performed giving a likelihood value of 0
; -- data --
switch	value		lower	upper	optimise
ling.Linf	   163.33485	     100      200        1
ling.k	   96.165103	      40      100        1
ling.walpha	2.2756744e-06	   1e-10        1        0
ling.wbeta	   3.2020045	       2        4        0
ling.bbin	   26.691413	   1e-08      100        1
lingmat.M	        0.15	   0.001        1        0
lingmat.init.scalar	   106.26663	       1      300        1
ling.init.F	   0.2193912	     0.1        1        1
lingmat.init.5	   15.787683	   0.001     1000        1
lingmat.init.6	0.0010000003	   0.001     1000        1
lingmat.init.7	       0.001	   0.001     1000        1
lingmat.init.8	0.0010000002	   0.001     1000        1
lingmat.init.9	0.0010000003	   0.001     1000        1
lingmat.init.10	   53.331613	   0.001     1000        1
lingmat.init.11	   18.329409	   0.001     1000        1
lingmat.init.12	   17.228839	   0.001     1000        1
lingmat.init.13	   50.182935	   0.001     1000        1
lingmat.init.14	    5.438886	   0.001     1000        1
lingmat.init.15	0.0010000014	   0.001     1000        1
ling.recl	    7.721304	       4       20        1
lingmat.walpha	           1	   -9999     9999        0
lingmat.wbeta	           1	   -9999     9999        0
lingimm.M	        0.15	   0.001        1        0
lingimm.init.scalar	   1.6617371	       1      300        1
lingimm.init.3	   366.33755	   0.001     1000        1
lingimm.init.4	   377.29127	   0.001     1000        1
lingimm.init.5	  0.28207724	   0.001     1000        1
lingimm.init.6	0.0010000001	   0.001     1000        1
lingimm.init.7	0.0010000033	   0.001     1000        1
lingimm.init.8	0.0010000093	   0.001     1000        1
lingimm.init.9	0.0010000282	   0.001     1000        1
lingimm.init.10	   337.97483	   0.001     1000        1
ling.mat1	   57.172951	      10      200        1
ling.mat2	   56.250828	   56.25    93.75        1
ling.surv.alpha	 0.092711982	    0.01        3        1
ling.surv.l50	   70.068368	      10      100        1
ling.lln.alpha	  0.13643511	    0.01        3        1
ling.lln.l50	   77.025733	      10      100        1
ling.bmt.alpha	  0.14860807	    0.01        3        1
ling.bmt.l50	   75.058008	      10      100        1
ling.gil.alpha	  0.13693305	    0.01        3        1
ling.gil.l50	         100	      10      100        1
